Starting training...
Epoch: 002/010 | Batch 2050/2813 | Cost: 0.0005
Epoch: 002/010 | Batch 2100/2813 | Cost: 0.0005
Epoch: 002/010 | Batch 2150/2813 | Cost: 0.0005
Epoch: 002/010 | Batch 2200/2813 | Cost: 0.0005
Epoch: 002/010 | Batch 2250/2813 | Cost: 0.0005
Epoch: 002/010 | Batch 2300/2813 | Cost: 0.0005
Epoch: 002/010 | Batch 2350/2813 | Cost: 0.0005
Epoch: 002/010 | Batch 2400/2813 | Cost: 0.0005
Epoch: 002/010 | Batch 2450/2813 | Cost: 0.0005
Epoch: 002/010 | Batch 2500/2813 | Cost: 0.0005
Epoch: 002/010 | Batch 2550/2813 | Cost: 0.0005
Epoch: 002/010 | Batch 2600/2813 | Cost: 0.0005
Epoch: 002/010 | Batch 2650/2813 | Cost: 0.0005
Epoch: 002/010 | Batch 2700/2813 | Cost: 0.0005
Epoch: 002/010 | Batch 2750/2813 | Cost: 0.0005
Epoch: 002/010 | Batch 2800/2813 | Cost: 0.0005
Epoch: 002/010 | Train: 100.000%
Time elapsed: 29961.17 min
Epoch: 003/010 | Batch 0000/2813 | Cost: 0.0005
Epoch: 003/010 | Batch 0050/2813 | Cost: 0.0005
Epoch: 003/010 | Batch 0100/2813 | Cost: 0.0005
Epoch: 003/010 | Batch 0150/2813 | Cost: 0.0005
Epoch: 003/010 | Batch 0200/2813 | Cost: 0.0005
Epoch: 003/010 | Batch 0250/2813 | Cost: 0.0005
Epoch: 003/010 | Batch 0300/2813 | Cost: 0.0005
Epoch: 003/010 | Batch 0350/2813 | Cost: 0.0005
Epoch: 003/010 | Batch 0400/2813 | Cost: 0.0005
Epoch: 003/010 | Batch 0450/2813 | Cost: 0.0005
Epoch: 003/010 | Batch 0500/2813 | Cost: 0.0005
Epoch: 003/010 | Batch 0550/2813 | Cost: 0.0005
Epoch: 003/010 | Batch 0600/2813 | Cost: 0.0005
Epoch: 003/010 | Batch 0650/2813 | Cost: 0.0005
Epoch: 003/010 | Batch 0700/2813 | Cost: 0.0005
Epoch: 003/010 | Batch 0750/2813 | Cost: 0.0005
Epoch: 003/010 | Batch 0800/2813 | Cost: 0.0005
Epoch: 003/010 | Batch 0850/2813 | Cost: 0.0005
Epoch: 003/010 | Batch 0900/2813 | Cost: 0.0005
Epoch: 003/010 | Batch 0950/2813 | Cost: 0.0005
Epoch: 003/010 | Batch 1000/2813 | Cost: 0.0005
Epoch: 003/010 | Batch 1050/2813 | Cost: 0.0005
Epoch: 003/010 | Batch 1100/2813 | Cost: 0.0005
Epoch: 003/010 | Batch 1150/2813 | Cost: 0.0005
Epoch: 003/010 | Batch 1200/2813 | Cost: 0.0005
Epoch: 003/010 | Batch 1250/2813 | Cost: 0.0005
Epoch: 003/010 | Batch 1300/2813 | Cost: 0.0005
Epoch: 003/010 | Batch 1350/2813 | Cost: 0.0005
Epoch: 003/010 | Batch 1400/2813 | Cost: 0.0005
Epoch: 003/010 | Batch 1450/2813 | Cost: 0.0005
Epoch: 003/010 | Batch 1500/2813 | Cost: 0.0005
Epoch: 003/010 | Batch 1550/2813 | Cost: 0.0005
Epoch: 003/010 | Batch 1600/2813 | Cost: 0.0005
Epoch: 003/010 | Batch 1650/2813 | Cost: 0.0005
Epoch: 003/010 | Batch 1700/2813 | Cost: 0.0005
Epoch: 003/010 | Batch 1750/2813 | Cost: 0.0005
Epoch: 003/010 | Batch 1800/2813 | Cost: 0.0005
Epoch: 003/010 | Batch 1850/2813 | Cost: 0.0005
Epoch: 003/010 | Batch 1900/2813 | Cost: 0.0005
Epoch: 003/010 | Batch 1950/2813 | Cost: 0.0005
Epoch: 003/010 | Batch 2000/2813 | Cost: 0.0005
Epoch: 003/010 | Batch 2050/2813 | Cost: 0.0005
Epoch: 003/010 | Batch 2100/2813 | Cost: 0.0005
Epoch: 003/010 | Batch 2150/2813 | Cost: 0.0005
Epoch: 003/010 | Batch 2200/2813 | Cost: 0.0005
Epoch: 003/010 | Batch 2250/2813 | Cost: 0.0005
Epoch: 003/010 | Batch 2300/2813 | Cost: 0.0005
Epoch: 003/010 | Batch 2350/2813 | Cost: 0.0005
Epoch: 003/010 | Batch 2400/2813 | Cost: 0.0005
Epoch: 003/010 | Batch 2450/2813 | Cost: 0.0005
Epoch: 003/010 | Batch 2500/2813 | Cost: 0.0005
Epoch: 003/010 | Batch 2550/2813 | Cost: 0.0005
Epoch: 003/010 | Batch 2600/2813 | Cost: 0.0005
Epoch: 003/010 | Batch 2650/2813 | Cost: 0.0005
Epoch: 003/010 | Batch 2700/2813 | Cost: 0.0005
Epoch: 003/010 | Batch 2750/2813 | Cost: 0.0005
Epoch: 003/010 | Batch 2800/2813 | Cost: 0.0005
Epoch: 003/010 | Train: 100.000%
Time elapsed: 14492.27 min
Epoch: 004/010 | Batch 0000/2813 | Cost: 0.0005
Epoch: 004/010 | Batch 0050/2813 | Cost: 0.0005
Epoch: 004/010 | Batch 0100/2813 | Cost: 0.0005
Epoch: 004/010 | Batch 0150/2813 | Cost: 0.0005
Epoch: 004/010 | Batch 0200/2813 | Cost: 0.0005
Epoch: 004/010 | Batch 0250/2813 | Cost: 0.0005
Epoch: 004/010 | Batch 0300/2813 | Cost: 0.0005
Epoch: 004/010 | Batch 0350/2813 | Cost: 0.0005
Epoch: 004/010 | Batch 0400/2813 | Cost: 0.0005
Epoch: 004/010 | Batch 0450/2813 | Cost: 0.0005
Epoch: 004/010 | Batch 0500/2813 | Cost: 0.0005
Epoch: 004/010 | Batch 0550/2813 | Cost: 0.0005
Epoch: 004/010 | Batch 0600/2813 | Cost: 0.0005
Epoch: 004/010 | Batch 0650/2813 | Cost: 0.0005
Epoch: 004/010 | Batch 0700/2813 | Cost: 0.0005
Epoch: 004/010 | Batch 0750/2813 | Cost: 0.0005
Epoch: 004/010 | Batch 0800/2813 | Cost: 0.0005
Epoch: 004/010 | Batch 0850/2813 | Cost: 0.0005
Epoch: 004/010 | Batch 0900/2813 | Cost: 0.0005
Epoch: 004/010 | Batch 0950/2813 | Cost: 0.0005
Epoch: 004/010 | Batch 1000/2813 | Cost: 0.0005
Epoch: 004/010 | Batch 1050/2813 | Cost: 0.0005
Epoch: 004/010 | Batch 1100/2813 | Cost: 0.0005
Epoch: 004/010 | Batch 1150/2813 | Cost: 0.0005
Epoch: 004/010 | Batch 1200/2813 | Cost: 0.0005
Epoch: 004/010 | Batch 1250/2813 | Cost: 0.0005
Epoch: 004/010 | Batch 1300/2813 | Cost: 0.0005
Epoch: 004/010 | Batch 1350/2813 | Cost: 0.0005
Epoch: 004/010 | Batch 1400/2813 | Cost: 0.0005
Epoch: 004/010 | Batch 1450/2813 | Cost: 0.0005
Epoch: 004/010 | Batch 1500/2813 | Cost: 0.0005
Epoch: 004/010 | Batch 1550/2813 | Cost: 0.0005
Epoch: 004/010 | Batch 1600/2813 | Cost: 0.0005
Epoch: 004/010 | Batch 1650/2813 | Cost: 0.0005
Epoch: 004/010 | Batch 1700/2813 | Cost: 0.0005
Epoch: 004/010 | Batch 1750/2813 | Cost: 0.0005
Epoch: 004/010 | Batch 1800/2813 | Cost: 0.0005
Epoch: 004/010 | Batch 1850/2813 | Cost: 0.0005
Epoch: 004/010 | Batch 1900/2813 | Cost: 0.0005
Epoch: 004/010 | Batch 1950/2813 | Cost: 0.0005
Epoch: 004/010 | Batch 2000/2813 | Cost: 0.0005
Epoch: 004/010 | Batch 2050/2813 | Cost: 0.0005
Epoch: 004/010 | Batch 2100/2813 | Cost: 0.0005
Epoch: 004/010 | Batch 2150/2813 | Cost: 0.0005
Epoch: 004/010 | Batch 2200/2813 | Cost: 0.0005
Epoch: 004/010 | Batch 2250/2813 | Cost: 0.0005
Epoch: 004/010 | Batch 2300/2813 | Cost: 0.0005
Epoch: 004/010 | Batch 2350/2813 | Cost: 0.0005
Epoch: 004/010 | Batch 2400/2813 | Cost: 0.0005
Epoch: 004/010 | Batch 2450/2813 | Cost: 0.0005
Epoch: 004/010 | Batch 2500/2813 | Cost: 0.0005
Epoch: 004/010 | Batch 2550/2813 | Cost: 0.0005
Epoch: 004/010 | Batch 2600/2813 | Cost: 0.0005
Epoch: 004/010 | Batch 2650/2813 | Cost: 0.0005
Epoch: 004/010 | Batch 2700/2813 | Cost: 0.0005
Epoch: 004/010 | Batch 2750/2813 | Cost: 0.0005
Epoch: 004/010 | Batch 2800/2813 | Cost: 0.0005
Epoch: 004/010 | Train: 100.000%
Time elapsed: 7544.35 min
Early stopping
Training complete
Total Training Time: 125.74 min
Saving the model...
Model saved to resnet34_trained.pth
Evaluating on test set...
Test Accuracy: 100.0%
